1 -542 -686 386	 803 86 214      	 803 86 214      
2 42 -734 295	-542 -686 386	-542 -686 386
3 -368 -584 -486	42 -734 295	42 -734 295
4 -16 -705 180	-1438	-1438
5 691 -78 47	-16 -705 180	-16 -705 180
6 -522 -602 -364	691 -78 47	691 -78 47
7 -519 -644 347	-1488	-1488
8 -470 -620 -360	-519 -644 347	-519 -644 347
9 -53 -601 167	-1450	-1450
10 79 -675 310	-53 -601 167	-53 -601 167
11 -679 -781 424	 79 -675 310	 79 -675 310
12 -454 -761 -354	 -679 -781 424	 -679 -781 424
13 647 76 130	 -454 -761 -354	 -454 -761 -354
14 -675 -744 519	 647 76 130	 647 76 130
15 86 -557 133	 -675 -744 519	 -675 -744 519
16 666 133 44	 86 -557 133	 86 -557 133
17 -713 -658 439	 666 133 44	 666 133 44
18 781 -62 245	 -713 -658 439	 -713 -658 439
19 -647 -734 349	 781 -62 245	 781 -62 245
20 671 -16 80	 -647 -734 349	 -647 -734 349
21 -554 -759 332	 671 -16 80	 671 -16 80
22 -343 -586 -411	 -554 -759 332	 -554 -759 332
23 -411 -788 -495	 -343 -586 -411	 -343 -586 -411
24 575 -73 191	 -411 -788 -495	 -411 -788 -495
25 -504 -626 499	 575 -73 191	 575 -73 191
26 777 141 26	 -504 -626 499	 -504 -626 499
27 601 46 252	 777 141 26	 777 141 26
28 31 -791 92	 601 46 252	 601 46 252
29 -97 -743 261	 31 -791 92	 31 -791 92
30 -655 -627 516	 -97 -743 261	 -97 -743 261
31 -499 -808 -401	 -655 -627 516	 -655 -627 516
32 106 -797 145	 -499 -808 -401	 -499 -808 -401
33 -416 -810 -330	 106 -797 145	 106 -797 145
34 -415 -740 -344	 -416 -810 -330	 -416 -810 -330
35 41 -770 193	 -415 -740 -344	 -415 -740 -344
36 -559 -632 550	 41 -770 193	 41 -770 193
37 -102 -713 123	 -559 -632 550	 -559 -632 550
38 -685 -737 342	 -102 -713 123	 -102 -713 123
39 99 -700 235	 -685 -737 342	 -685 -737 342
40 134 -622 112	 99 -700 235	 99 -700 235
41 -350 -654 -463	 134 -622 112	 134 -622 112
42 -640 -765 435	 -350 -654 -463	 -350 -654 -463
43 669 84 134	 -640 -765 435	 -640 -765 435
44 -489 -603 -536	 669 84 134	 669 84 134
45 -20 -697 90	 -489 -603 -536	 -489 -603 -536
46 7 -544 154	 -20 -697 90	 -20 -697 90
47 -368 -616 -391	 7 -544 154	 7 -544 154
48 -63 -657 274	 -368 -616 -391	 -368 -616 -391
49 -459 -793 -413	 -63 -657 274	 -63 -657 274
50 543 -5 12	 -459 -793 -413	 -459 -793 -413
51 -503 -698 421	 543 -5 12	 543 -5 12
52 -511 -769 475	 -503 -698 421	 -503 -698 421
53 760 17 195	 -511 -769 475	 -511 -769 475
54 -87 -661 98	 760 17 195	 760 17 195
55 -642 -533 552	 -87 -661 98	 -87 -661 98
56 -626 -713 456	 -642 -533 552	 -642 -533 552
57 110 -637 229	 -626 -713 456	 -626 -713 456
58 547 34 19	 110 -637 229	 110 -637 229
59 -678 -699 320	 547 34 19	 547 34 19
60 -631 -571 565	 -678 -699 320	 -678 -699 320
61 -559 -682 313	 -631 -571 565	 -631 -571 565
62 578 102 99	 -559 -682 313	 -559 -682 313
63 -13 -805 301	 578 102 99	 578 102 99
64 116 -748 266	 -13 -805 301	 -13 -805 301
65 -40 -753 76	 116 -748 266	 116 -748 266
66 -375 -686 -399	 -40 -753 76	 -40 -753 76
67 -407 -596 -454	 -375 -686 -399	 -375 -686 -399
68 -541 -521 367	 -407 -596 -454	 -407 -596 -454
69 -485 -784 -467	 -541 -521 367	 -541 -521 367
70 652 -23 22	 -485 -784 -467	 -485 -784 -467
71 -39 -709 338	 652 -23 22	 652 -23 22
72 -39 -626 119	 -39 -709 338	 -39 -709 338
73 585 124 96	 -39 -626 119	 -39 -626 119
74 9 -553 256	 585 124 96	 585 124 96
75 -668 -785 347	 9 -553 256	 9 -553 256
76 -539 -569 477	 -668 -785 347	 -668 -785 347
77 -383 -782 -573	 -539 -569 477	 -539 -569 477
78 -469 -582 344	 -383 -782 -573	 -383 -782 -573
79 603 95 203	 -469 -582 344	 -469 -582 344
80 -505 -721 584	 603 95 203	 603 95 203
81 -531 -698 393	 -505 -721 584	 -505 -721 584
82 739 -38 63	 -531 -698 393	 -531 -698 393
83 -394 -534 -518	 739 -38 63	 739 -38 63
84 -505 -621 490	 -394 -534 -518	 -394 -534 -518
85 667 -57 40	 -505 -621 490	 -505 -621 490
86 -611 -644 356	 667 -57 40	 667 -57 40
87 -559 -713 -518	 -611 -644 356	 -611 -644 356
88 -525 -681 -431	 -559 -713 -518	 -559 -713 -518
89 -565 -507 486	 -525 -681 -431	 -525 -681 -431
90 -353 -562 -495	 -565 -507 486	 -565 -507 486
91 -415 -630 -446	 -353 -562 -495	 -353 -562 -495
92 -508 -594 343	 -415 -630 -446	 -415 -630 -446
93 682 53 2	 -508 -594 343	 -508 -594 343
94 591 160 176	 682 53 2	 682 53 2
95 28 -739 120	 591 160 176	 591 160 176
96 753 -35 82	 28 -739 120	 28 -739 120
97 718 158 45	 753 -35 82	 753 -35 82
98 633 -68 58	 718 158 45	 718 158 45
99 82 -642 84	 633 -68 58	 633 -68 58
100 803 86 214 	 82 -642 84	 82 -642 84
